Achieving Adaptive Visual Multi-Object Tracking with Unscented Kalman Filter,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000897442800001,SENSORS,2022,JCR 二区,"Zhang Guowei, China University of Mining & Technology","Yin Jiyao, Shenzhen Urban Public Safety & Technology Institute","Deng Peng, Shenzhen Urban Public Safety & Technology Institute","Sun Yanlong, Shenzhen Urban Public Safety & Technology Institute","Zhou Lin, Shenzhen Urban Public Safety & Technology Institute","Zhang Kuiyuan, China University of Mining & Technology","",""
Mixed Stage Partial Network and Background Data Augmentation for Surveillance Object Detection,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000921411200061,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,2023,JCR 一区,"Chen Ping-Yang, National Yang Ming Chiao Tung University","Hsieh Jun-Wei, National Yang Ming Chiao Tung University","Gochoo Munkhjargal, United Arab Emirates University","Chen Yong-Sheng, National Yang Ming Chiao Tung University","","","",""
A Robust Framework for Object Detection in a Traffic Surveillance System,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000881054300001,ELECTRONICS,2022,JCR 二区,"Akhtar Malik Javed, University of Engineering & Technology Taxila","Mahum Rabbia, University of Engineering & Technology Taxila","Butt Faisal Shafique, COMSATS University Islamabad (CUI)","Amin Rashid, Univ Chakwal","El-Sherbeeny Ahmed M., King Saud University","Lee Seongkwan Mark, United Arab Emirates University","Shaikh Sarang, Norwegian Univ Sci & Technol NTNU",""
Swin transformer based vehicle detection in undisciplined traffic environment,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000878295700007,EXPERT SYSTEMS WITH APPLICATIONS,2022,JCR 一区,"Deshmukh Prashant, National Institute of Technology (NIT System)","Satyanarayana G. S. R., National Institute of Technology (NIT System)","Majhi Sudhan, Indian Institute of Science (IISC) - Bangalore","Sahoo Upendra Kumar, National Institute of Technology (NIT System)","Das Santos Kumar, National Institute of Technology (NIT System)","","",""
Binary residual feature pyramid network: An improved feature fusion module based on double-channel residual pyramid structure for autonomous detection algorithm,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000866258600001,[],2022,JCR 二区,"Luo Tong, Jiangsu University","Wang Hai, Jiangsu University","Cai Yingfeng, Jiangsu University","Chen Long, Jiangsu University","Wang Kuan, Jiangsu University","Yu Yijie, Jiangsu University","",""
Industrial gearbox fault diagnosis based on multi-scale convolutional neural networks and thermal imaging,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000876929500005,ISA TRANSACTIONS,2022,JCR 一区,"Li Yongbo, Northwestern Polytechnical University","Du Xiaoqiang, ","Wang Xianzhi, ","Si Shubin, ","","","",""
Semi-MoreGAN: Semi-supervised Generative Adversarial Network for Mixture of Rain Removal,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001008797000040,[],2023,JCR 一区,"Shen Yiyang, Nanjing University of Aeronautics & Astronautics","Wang Yongzhen, Nanjing University of Aeronautics & Astronautics","Wei Mingqiang, Nanjing University of Aeronautics & Astronautics","Chen Honghua, Nanjing University of Aeronautics & Astronautics","Xie Haoran, Lingnan University","Cheng Gary, Education University of Hong Kong (EdUHK)","Wang Fu Lee, Hong Kong Metropolitan University",""
A Two-Branch Pedestrian Detection Method for Small and Blurred Target,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000859027200001,IEEJ TRANSACTIONS ON ELECTRICAL AND ELECTRONIC ENGINEERING,2022,JCR 四区,"Han Yufei, Beijing Institute of Technology","Li Hai, Beijing Institute of Technology","Hou Shujuan, Beijing Institute of Technology","","","","",""
Making You Only Look Once Faster: Toward Real-Time Intelligent Transportation Detection,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000854613300001,[],2022,JCR 一区,"Dai Yuan, South China University of Technology","Liu Weiming, South China University of Technology","Xie Wei, South China University of Technology","Liu Ruikang, South China University of Technology","Zheng Zhongxing, South China University of Technology","Long Kejun, Changsha University of Science & Technology","Wang Liang, ","Mao Liang, "
An Automated Learning Framework With Limited and Cross-Domain Data for Traffic Equipment Detection From Surveillance Videos,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000842737700001,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,2022,JCR 一区,"Zhou Wei, Southeast University - China","Liu Yuqing, Southeast University - China","Wang Chen, Southeast University - China","Zhan Yunfei, Southeast University - China","Dai Yulu, Southeast University - China","Wang Ruiyu, Southeast University - China","",""
Vision-Based Autonomous Vehicle Systems Based on Deep Learning: A Systematic Literature Review,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000832013800001,[],2022,JCR 二区,"Pavel Monirul Islam, Universiti Kebangsaan Malaysia","Tan Siok Yee, Universiti Kebangsaan Malaysia","Abdullah Azizi, Universiti Kebangsaan Malaysia","","","","",""
Vehicle fusion detection in visible and infrared thermal images via spare network and dynamic weight coefficient-based Dempster-Shafer evidence theory,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000867557000057,[],2022,JCR 一区,"Zhang Xunxun, Xi'an University of Architecture & Technology","Peng Lang, Xi'an University of Architecture & Technology","Lu Xiaoyu, Xi'an University of Architecture & Technology","","","","",""
Orientation aware weapons detection in visual data: a benchmark dataset,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000817012500001,COMPUTING,2022,JCR 一区,"Haq N. U., National University of Sciences & Technology - Pakistan","Fraz M. M., National University of Sciences & Technology - Pakistan","Hashmi T. S., National University of Sciences & Technology - Pakistan","Shahzad M., National University of Sciences & Technology - Pakistan","","","",""
Last Decade in Vehicle Detection and Classification: A Comprehensive Survey,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000811428900002,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,2022,JCR 一区,"Maity Sourajit, Jadavpur University","Bhattacharyya Avirup, Jadavpur University","Singh Pawan Kumar, Jadavpur University","Kumar Munish, Maharaja Ranjit Singh Punjab Tech Univ","Sarkar Ram, Jadavpur University","","",""
A Two-Stage Hybrid Extreme Learning Model for Short-Term Traffic Flow Forecasting,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000817453300001,MATHEMATICS,2022,JCR 一区,"Cui Zhihan, Shantou University","Huang Boyu, Shantou University","Dou Haowen, Shantou University","Cheng Yan, Shantou University","Guan Jitian, Shantou University","Zhou Teng, Shantou University","",""
Traffic state prediction using conditionally Gaussian observed Markov fuzzy switching model,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000800230500001,[],2022,JCR 一区,"Bouyahia Zied, Dhofar University","Haddad Hedi, Dhofar University","Derrode Stephane, Centre National de la Recherche Scientifique (CNRS)","Pieczynski Wojciech, IMT - Institut Mines-Telecom","","","",""
SA-YOLOv3: An Efficient and Accurate Object Detector Using Self-Attention Mechanism for Autonomous Driving,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000790829400018,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,2022,JCR 一区,"Tian Daxin, Beihang University","Lin Chunmian, Beihang University","Zhou Jianshan, Beihang University","Duan Xuting, Beihang University","Cao Yue, Beihang University","Zhao Dezong, Loughborough University","Cao Dongpu, University of Waterloo",""
Efficient multi-model integration neural network framework for nighttime vehicle detection,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000782544600004,[],2022,JCR 一区,"Li Jianfang, Hunan University","Xiao Degui, Hunan University","Yang Qiuwei, Hunan University","","","","",""
